Delta,0.0670011563292601,0.0325378323516882,0.0232415298455948,0.0507957847564214,0.0493587873317614,0.0322760635730615,0.0497328783293057,0.0372616026043986
Theta,-0.0212367711974639,-0.0159275559914675,0.0111840756608558,-0.0253547759622505,0.00931031985953583,-0.0283963443353175,-0.0417743004413295,-0.0292934605566834
Alpha,0.0283448872835053,0.0322115658420513,0.00928149817384647,0.0352211809494667,0.0152026067732237,0.0418884613107831,0.00965000216699309,0.0379952128459648
Beta,0.00483018259085746,0.0191815282572114,0.00962155544681956,0.00776162758263069,0.026118599512592,0.0112369438556861,0.0141034104889194,0.0143610373906076
Gamma,0.348720815862579,0.710696319238957,0.126094299779544,0.169815402815255,0.000234641290274114,0.585957246611204,0.262485338243233,0.795062768197325
Delta,0.0270695232621463,0.0436636383561217,0.030880656931928,0.0252346480442027,0.017985182257414,0.0154186213247612,0.0333404983715667,0.00472776862352979
Theta,-0.025970632841519,-0.0275090743097526,0.00933019034930526,-0.0169608487999855,-0.0296347479680697,-0.0203854179556747,-0.0103298726752943,-0.01371687623983
Alpha,-0.0200207967035775,0.0262592369295044,0.0509174548891641,0.015191817838937,0.0119649291867855,0.0118424740471913,0.0211707709303662,0.0215912566194991
Beta,0.0136787693732255,0.0137263144730706,-0.00193340466415233,0.015361824234504,0.0205583074245057,0.00825409904835338,0.0120576361284403,0.0116457513852948
Gamma,-0.53524629674207,0.180335882542395,-0.215267777835816,-0.626298136748339,-0.460359557139711,-0.715072721654242,-0.0983451252905539,-0.1575103341932
Delta,-0.00498070223852967,0.0198877379761712,-0.0151327835543246,0.00287825644695234,0.00615372551832177,0.0168431962505024,0.0121293690424933,-0.0106301254070287
Theta,-0.0226768881521834,0.0158591662739072,-0.010369924608967,-0.0355084171872839,-0.0105253319779282,-0.000996108493046653,-0.0169006670092708,-0.0102405442649732
Alpha,0.00797176185718323,0.0241940980352395,-0.0232635293077571,0.0142912120140873,0.0282521073016822,0.0330194221550364,0.0172749858087556,0.0304523278367565
Beta,0.00568575493051609,0.0118461330270879,-0.00897792525658512,-0.0136067799994881,0.00621087743171077,0.016148060936526,0.00438254648543964,0.00794845444132678
Gamma,0.81408767433253,0.785308024952139,0.617094675340533,0.829257902061781,0.631987446707894,0.741412259306086,0.738927116397376,0.836733556534244
Delta,-0.00345438873168635,0.034054329005544,0.0189598627153138,0.00469530086078852,-0.00753577537462689,-0.019612038071458,-0.00631033079434908,-0.0162673169023596
Theta,0.0503410352993513,0.044964003484264,0.0759388477609174,0.052715870334829,0.055661075245577,0.0515472434380415,0.0490952797330721,0.0312343889740007
Alpha,-0.0329325863286232,-0.00852290353418247,-0.0433585250485002,-0.0437783476607484,-0.018617826263858,0.0116706675114867,-0.0383609894827279,-0.0067802910133879
Beta,-0.0127096211775086,-0.0158073192029561,0.00408313780623599,-0.0120093949982022,-0.0138884210403131,-0.0168156016673914,-0.0138956144134206,-0.0176573709934975
Gamma,-0.0138942094340273,0.140707798121106,0.1716118816771,-0.0564204901774601,-0.448063459969399,0.496710139703494,0.00716963792139436,-0.256961674178075
Delta,-0.0903912445083501,-0.0975076922220075,-0.0373533521940967,-0.0589103375972787,-0.0400842231160698,-0.0717521622722604,-0.0400686237565097,-0.033920915037678
Theta,0.00393396935078397,-0.00106913330472109,-0.00957273219658375,-0.00951302916668866,-0.00915200507606399,-0.00734603033140086,-0.00998720312795365,-0.0243992038061483
Alpha,0.00776831961810108,0.0070829293165141,-0.0125681411777547,0.00101228398892131,0.0143064807791735,0.0190918696741822,0.0207669609245217,0.035849632903805
Beta,0.0295732623659909,0.0222265426658061,0.00736038129285981,0.0220653042817977,0.0236178844903701,0.0177955371063069,0.0112988304109782,0.0104622419979268
Gamma,0.0382153284750766,0.0727915137117523,-0.00219969661470643,0.0168591250244496,0.0506799990711688,0.128174661906148,0.0238544591618101,0.0895836734667105
Delta,-0.076141385401664,-0.0113419726777366,-0.0586091531991296,-0.0990137886523264,-0.0600136569916024,-0.0569982400986604,-0.0829064427857423,-0.0807142858145475
Theta,0.016634078623495,0.0451243995152618,0.0738540715158911,0.0172950877730353,0.00851059038363513,0.0171771628546031,0.0228838211175706,0.0187398669272281
Alpha,-0.0045772650485059,-0.0224071661898597,-0.00240569213648971,0.0201484922249796,0.00874124737376706,-0.0139813898714683,0.00807337286035181,-0.0117572782731251
Beta,0.0185261594534172,0.0213305511217495,0.0351860676287279,0.0312605975482736,0.0214181370142061,0.0122727582572155,0.0169013802278012,0.011041059994591
Gamma,0.231688564992615,0.172136626417371,0.0855827082043636,0.0860229616779098,0.228656779963324,0.399239801244024,0.185814313954412,0.313070736278687
Delta,0.0345133835930844,0.0414924324720381,0.0627680206051204,-0.0320889921461536,0.057360601367981,0.0619691300252353,0.050262937938085,0.0560956728858968
Theta,0.0972599339333256,0.0930839056639561,0.0699713844899818,0.14527498955268,0.0876240546958453,0.0606691547214835,0.0851496088199325,0.0855326810384685
Alpha,-0.00260867093297052,-0.00340229048758953,0.00122279202820982,0.000110697522569236,-0.00201654328834699,6.59524925325587e-05,-0.00850801187197726,-0.0034482494203605
Beta,-0.00525368303926876,-0.00682167506345095,-0.000542211646614518,-0.00144184557592795,-0.00508489845472762,-0.00812832007059165,-0.00610585607460274,-0.0116240848836053
Gamma,0.31184777097489,0.228185691463503,0.315581106386977,0.517561687482638,0.367253191271933,0.239318984880092,0.426838063426674,0.321094589372389
Delta,-0.0183944167325569,-0.0166066682195474,-0.0133379378916794,-0.0212481510265823,-0.0122926146530411,-0.0174975938510857,-0.0111984017606877,-0.0176179251613698
