Delta,0.067917438739996,0.0324731456588703,0.0223378354358619,0.0504994771655475,0.0467039528383927,0.0328761408549524,0.0523862748267828,0.037243613321199
Theta,-0.0216945378292193,-0.0162477964848355,0.0111461615496506,-0.0251717091935055,0.00934760513223504,-0.0285266399986209,-0.0410523280533893,-0.0297928887797941
Alpha,0.0290350643531197,0.032600447284744,0.00928470178973541,0.0350756723882524,0.0152308398654218,0.0419356807974934,0.00921406444519875,0.0379793466545886
Beta,0.00460218555178354,0.0194693773495152,0.00953364279925312,0.00763764384518048,0.0262036795117848,0.0108900843417371,0.0135317556820939,0.0138722958679875
Gamma,0.348637032253311,0.710066795917346,0.12591687705028,0.16959440755159,0.00016215093844175,0.585702542321324,0.262080319181261,0.793097888089807
Delta,0.0233433750983701,0.0444879433543302,0.0308760465796764,0.0266830449452139,0.0180500277196841,0.0169730302277804,0.0323599222527379,0.00441578411281135
Theta,-0.0256669936480137,-0.0274480863598644,0.00905642133959082,-0.0169680124569114,-0.0295483431381424,-0.0202307170291318,-0.0105207087383958,-0.0133810911286871
Alpha,-0.0180526374892632,0.0235920507584446,0.050967797632394,0.0152515363480411,0.011832703450969,0.0126060557563132,0.0216259318094518,0.0229257164355126
Beta,0.0142677890739214,0.0123191436942471,-0.00172614624586298,0.0154944893135173,0.0206965003520335,0.00850588813516164,0.0123108539297274,0.0111357431518956
Gamma,-0.523794157985086,0.171767306115302,-0.215191735264274,-0.626269169102211,-0.460623595663259,-0.713881085493251,-0.0984255546759765,-0.152366050387008
Delta,-0.00498070223852967,0.0186452545146785,-0.0151327835543246,0.00409183314653522,0.00595906372059446,0.017200170353271,0.0119868775620597,-0.00927393852331262
Theta,-0.0226768881521834,0.0158392650314698,-0.010369924608967,-0.0357607560651157,-0.0107213187626966,-0.00107938913558486,-0.0165277499630694,-0.0115269173959495
Alpha,0.00797176185718323,0.024404719182334,-0.0232635293077571,0.0145616820785461,0.028645676973487,0.0331350857236205,0.0172658209816387,0.0313349984215672
Beta,0.00568575493051609,0.0119466810939473,-0.00897792525658512,-0.013168959742228,0.00641257727983926,0.0162101329208425,0.00194536553447272,0.00694251316163709
Gamma,0.81408767433253,0.785262636495049,0.617094675340533,0.829055617464087,0.631929453094451,0.741344132440312,0.734523619558175,0.833205073984539
Delta,-0.00349714482114424,0.0347175196550718,0.0218572206710825,0.00465747939303996,-0.00933342197381049,-0.0165411746557656,-0.00797680227052701,-0.0172608807488275
Theta,0.051587223802009,0.0447417121715626,0.0764512111554523,0.053467444761452,0.057358638844652,0.0521362379536383,0.0488068389517131,0.0308699230779431
Alpha,-0.0380313077613251,-0.00764421123004657,-0.0457867605409828,-0.0415624900271914,-0.0180537341060921,0.0129733429415476,-0.0350298602250135,-0.00624703382388103
Beta,-0.0137536995100401,-0.0157689753644953,0.00242410422126741,-0.0125547207966938,-0.0143807330468641,-0.0163452425376862,-0.0134913510890544,-0.0187226280357524
Gamma,-0.0126639638201182,0.135877676685839,0.16975747720623,-0.0553036285402139,-0.446760188477015,0.492107011553896,0.00801262882122639,-0.254193540173554
Delta,-0.0921042627727094,-0.0980911991709759,-0.0366098234864989,-0.05728833056771,-0.0427138699289268,-0.0701157894096004,-0.0407796068866494,-0.0327322759322538
Theta,0.0039672690385747,-0.000886971739055793,-0.00940494881204425,-0.0097492632569457,-0.00933635860121902,-0.00747921819579786,-0.0106613659965059,-0.0245172244302175
Alpha,0.00711706971253063,0.00742396455650588,-0.0122069762585373,0.0015211721558157,0.0146278910747079,0.0194411367252186,0.0212619753228752,0.0360149573231481
Beta,0.0293291702547134,0.022307018414521,0.0072575442811687,0.0212545622214733,0.0230386700690961,0.0174782719740117,0.0106817441924735,0.0100203624595867
Gamma,0.0384879689080731,0.0728821114308916,-0.00209291534987552,0.0166070086671011,0.0503713896431634,0.127906052487731,0.0231766429113008,0.0891372526201917
Delta,-0.0771049843961428,-0.0112611637812505,-0.0562184442385456,-0.0978064834523187,-0.058843888147702,-0.0568642055210606,-0.0847996149245807,-0.0807311854024792
Theta,0.0173030300040642,0.045746435843885,0.0728785054255806,0.0174131181602728,0.00857581929868802,0.0172155825586222,0.0229400040295536,0.0194364621294901
Alpha,-0.0048955116775781,-0.0219470219319799,-0.00186028699672656,0.0201536284045719,0.00863136886551218,-0.0140365984273648,0.00789300207109694,-0.0121471205732386
Beta,0.0182453754677401,0.021001422049362,0.03511680997008,0.0313474779407282,0.021525309961303,0.012409682910836,0.0168530685294838,0.0119970286785649
Gamma,0.230782026293937,0.17091437485109,0.0852929321727623,0.0859681846189112,0.228468136142992,0.399243834009012,0.185651554488088,0.305933736905838
Delta,0.0337526238640257,0.035232284896196,0.0654460049661951,-0.0345239128589258,0.0531688125679664,0.0579302441673261,0.0508664328161793,0.0541842659920769
Theta,0.0921095588676407,0.0798428892600167,0.0646784310583393,0.141565169992415,0.0818436145647353,0.050579910638362,0.0834774775174719,0.0784181853400935
Alpha,-0.00508085411538522,-0.00687039640872136,-0.0001428082222701,-0.0056362580211515,-0.00732340161627987,-0.00445067344254961,-0.0127767612747964,-0.00431495456057817
Beta,-0.0078199161062683,-0.0106410856405482,-0.0010052057982262,-0.0025263321091236,-0.00650406986540978,-0.0101924800617817,-0.00561170773267128,-0.0130017184061467
Gamma,0.295823280368102,0.202545858194258,0.299373981991185,0.505779861456617,0.356386057384432,0.225486415992989,0.409286142387543,0.297237787399918
Delta,-0.0184663666213683,-0.0175601329129857,-0.0141409507994654,-0.0178256141046796,-0.0138831697070266,-0.0171435027365762,-0.0110606368474134,-0.0195489639096968
